iter	Passed	Remaining
1099	47423	38801
1100	47483	38771
1101	47553	38750
1102	47602	38711
1103	47656	38677
1104	47703	38638
1105	47750	38597
1106	47791	38552
1107	47845	38518
1108	47893	38478
1109	47929	38430
1110	47982	38394
1111	48032	38356
1112	48071	38310
1113	48116	38268
1114	48168	38232
1115	48204	38183
1116	48259	38149
1117	48309	38111
1118	48358	38072
1119	48412	38038
1120	48457	37996
1121	48511	37961
1122	48563	37925
1123	48618	37891
1124	48666	37852
1125	48720	37817
1126	48773	37781
1127	48825	37744
1128	48881	37711
1129	48939	37679
1130	49004	37652
1131	49060	37618
1132	49117	37585
1133	49176	37554
1134	49229	37518
1135	49285	37484
1136	49332	37443
1137	49382	37406
1138	49432	37367
1139	49489	37334
1140	49533	37291
1141	49584	37253
1142	49640	37219
1143	49679	37172
1144	49723	37129
1145	49765	37085
1146	49829	37057
1147	49887	37024
1148	49948	36994
1149	50003	36959
1150	50056	36922
1151	50116	36891
1152	50168	36853
1153	50222	36817
1154	50274	36780
1155	50337	36751
1156	50388	36713
1157	50431	36669
1158	50477	36628
1159	50520	36583
1160	50558	36536
1161	50594	36487
1162	50631	36438
1163	50692	36408
1164	50732	36362
1165	50768	36312
1166	50816	36272
1167	50859	36228
1168	50915	36193
1169	50968	36157
1170	51032	36127
1171	51085	36091
1172	51130	36048
1173	51174	36004
1174	51226	35967
1175	51274	35927
1176	51313	35880
1177	51351	35832
1178	51405	35796
1179	51450	35753
1180	51494	35710
1181	51535	35664
1182	51581	35622
1183	51629	35582
1184	51667	35534
1185	51724	35500
1186	51762	35453
1187	51806	35409
1188	51840	35359
1189	51884	35316
1190	51927	35272
1191	51979	35234
1192	52018	35187
1193	52056	35140
1194	52097	35094
1195	52136	35048
1196	52178	35003
1197	52230	34965
1198	52291	34933
1199	52347	34898
1200	52408	34866
1201	52470	34834
1202	52538	34807
1203	52597	34773
1204	52649	34735
1205	52708	34701
1206	52769	34669
1207	52825	34633
1208	52892	34605
1209	52956	34574
1210	53022	34545
1211	53089	34517
1212	53146	34481
1213	53206	34448
1214	53264	34413
1215	53330	34384
1216	53394	34353
1217	53448	34315
1218	53504	34279
1219	53549	34236
1220	53605	34200
1221	53657	34161
1222	53714	34125
1223	53779	34095
1224	53831	34056
1225	53881	34016
1226	53934	33978
1227	53985	33938
1228	54027	33893
1229	54084	33858
1230	54141	33821
1231	54191	33781
1232	54238	33739
1233	54279	33693
1234	54329	33653
1235	54376	33611
1236	54420	33567
1237	54468	33525
1238	54549	33504
1239	54598	33463
1240	54643	33419
1241	54707	33388
1242	54768	33354
1243	54823	33317
1244	54859	33267
1245	54898	33220
1246	54934	33172
1247	54973	33125
1248	55013	33078
1249	55091	33054
1250	55129	33007
1251	55178	32966
1252	55232	32927
1253	55276	32883
1254	55312	32834
1255	55357	32791
1256	55414	32754
1257	55467	32716
1258	55522	32678
1259	55589	32647
1260	55657	32617
1261	55722	32585
1262	55766	32541
1263	55809	32496
1264	55860	32456
1265	55897	32407
1266	55956	32372
1267	56005	32331
1268	56065	32296
1269	56121	32258
1270	56174	32219
1271	56223	32178
1272	56277	32139
1273	56334	32102
1274	56385	32062
1275	56436	32021
1276	56499	31988
1277	56558	31952
1278	56617	31916
1279	56664	31873
1280	56712	31831
1281	56755	31786
1282	56808	31747
1283	56887	31722
1284	56942	31683
1285	56995	31644
1286	57048	31605
1287	57101	31565
1288	57155	31526
1289	57210	31487
1290	57254	31443
1291	57312	31406
1292	57362	31365
1293	57425	31331
1294	57483	31294
1295	57544	31258
1296	57602	31221
1297	57657	31182
1298	57710	31143
1299	57769	31106
1300	57824	31067
1301	57882	31030
1302	57945	30996
1303	57990	30952
1304	58030	30905
1305	58092	30869
1306	58148	30831
1307	58188	30784
1308	58230	30739
1309	58272	30693
1310	58324	30652
1311	58380	30614
1312	58432	30573
1313	58476	30528
1314	58517	30482
1315	58575	30445
1316	58623	30402
1317	58672	30360
1318	58714	30314
1319	58767	30274
1320	58827	30237
1321	58883	30199
1322	58935	30158
1323	58984	30116
1324	59032	30073
1325	59089	30035
1326	59145	29995
1327	59197	29955
1328	59241	29910
1329	59289	29867
1330	59330	29821
1331	59364	29771
1332	59403	29723
1333	59456	29683
1334	59516	29646
1335	59577	29610
1336	59635	29572
1337	59693	29534
1338	59742	29491
1339	59788	29448
1340	59839	29406
1341	59894	29367
1342	59950	29327
1343	59990	29281
1344	60053	29245
1345	60097	29200
1346	60149	29159
1347	60198	29116
1348	60239	29070
1349	60285	29026
1350	60335	28984
1351	60385	28942
1352	60443	28903
1353	60502	28865
1354	60563	28829
1355	60621	28790
1356	60684	28754
1357	60726	28708
1358	60775	28666
1359	60829	28625
1360	60882	28584
1361	60918	28535
1362	60955	28487
1363	60998	28442
1364	61048	28399
1365	61091	28354
1366	61130	28306
1367	61168	28259
1368	61208	28212
1369	61248	28165
1370	61291	28119
1371	61331	28073
1372	61371	28026
1373	61423	27984
1374	61465	27939
1375	61504	27891
1376	61545	27845
1377	61592	27801
1378	61640	27758
1379	61689	27715
1380	61731	27669
1381	61770	27622
1382	61826	27582
1383	61888	27545
1384	61950	27508
1385	62019	27474
1386	62075	27434
1387	62120	27390
1388	62159	27343
1389	62201	27297
1390	62242	27250
1391	62282	27203
1392	62321	27156
1393	62364	27111
1394	62419	27070
1395	62464	27026
1396	62519	26985
1397	62581	26948
1398	62619	26900
1399	62667	26857
1400	62717	26814
1401	62763	26770
1402	62807	26725
1403	62860	26684
1404	62918	26645
1405	62960	26599
1406	63006	26554
1407	63053	26511
1408	63096	26465
1409	63176	26435
1410	63228	26393
1411	63282	26352
1412	63326	26307
1413	63365	26260
1414	63413	26216
1415	63474	26178
1416	63530	26138
1417	63598	26102
1418	63666	26067
1419	63728	26029
1420	63784	25989
1421	63828	25944
1422	63888	25905
1423	63944	25865
1424	63997	25823
1425	64055	25783
1426	64112	25743
1427	64179	25707
1428	64254	25674
1429	64288	25625
1430	64336	25581
1431	64395	25542
1432	64445	25499
1433	64503	25459
1434	64578	25426
1435	64620	25380
1436	64668	25336
1437	64716	25292
1438	64765	25248
1439	64820	25207
1440	64869	25164
1441	64899	25113
1442	64923	25060
1443	64950	25008
1444	64977	24956
1445	65004	24904
1446	65032	24853
1447	65059	24801
1448	65091	24751
1449	65119	24700
1450	65147	24649
1451	65175	24597
1452	65203	24546
1453	65233	24496
1454	65266	24446
1455	65304	24399
1456	65335	24349
1457	65363	24298
1458	65390	24247
1459	65419	24196
1460	65447	24145
1461	65474	24093
1462	65502	24042
1463	65534	23993
1464	65564	23943
1465	65591	23891
1466	65621	23842
1467	65651	23791
1468	65680	23741
1469	65710	23691
1470	65736	23640
1471	65764	23589
1472	65791	23538
1473	65816	23486
1474	65843	23435
1475	65870	23384
1476	65895	23333
1477	65922	23282
1478	65948	23231
1479	65985	23184
1480	66013	23133
1481	66040	23083
1482	66069	23032
1483	66100	22983
1484	66128	22933
1485	66156	22883
1486	66183	22832
1487	66210	22782
1488	66240	22732
1489	66267	22682
1490	66295	22632
1491	66332	22584
1492	66360	22534
1493	66388	22484
1494	66416	22434
1495	66444	22385
1496	66471	22334
1497	66499	22284
1498	66554	22243
1499	66581	22193
1500	66609	22144
1501	66639	22094
1502	66666	22044
