iter	Passed	Remaining
1445	186803	6976
1446	186915	6846
1447	187090	6718
1448	187394	6595
1449	187546	6467
1450	187677	6337
1451	187878	6210
1452	188054	6082
1453	188246	5955
1454	188503	5830
1455	188672	5701
1456	188880	5574
1457	189049	5445
1458	189216	5317
1459	189383	5188
1460	189545	5059
1461	189716	4931
1462	189877	4802
1463	190065	4673
1464	190212	4544
1465	190364	4414
1466	190538	4286
1467	190729	4157
1468	190893	4028
1469	191063	3899
1470	191220	3769
1471	191395	3640
1472	191549	3511
1473	191700	3381
1474	191853	3251
1475	192013	3122
1476	192168	2992
1477	192328	2862
1478	192493	2733
1479	192676	2603
1480	192852	2474
1481	193021	2344
1482	193198	2214
1483	193386	2085
1484	193579	1955
1485	193757	1825
1486	193905	1695
1487	194070	1565
1488	194270	1435
1489	194427	1304
1490	194609	1174
1491	194792	1044
1492	194990	914
1493	195193	783
1494	195373	653
1495	195557	522
1496	195738	392
1497	195921	261
1498	196097	130
1499	196295	0
